key_id,old_judge_id,judge_id,full_name,first_name,last_name,last_name_latin,member_state_id,member_state,member_state_code,birth_year,gender_id,gender,female,judge_court_of_justice,judge_general_court,judge_civil_service_tribunal,advocate_general,count_positions,status,non_consecutive,start_date,end_date,start_date_court_of_justice,end_date_court_of_justice,start_date_general_court,end_date_general_court,start_date_civil_service_tribunal,end_date_civil_service_tribunal,start_date_advocate_general,end_date_advocate_general
84,2004,604,Thymen Koopmans,Thymen,Koopmans,Koopmans,6,Netherlands,NL,1929,2,Male,0,1,0,0,0,1,Former CJ judge,0,1979-04-01,1990-03-29,1979-04-01,1990-03-29,,,,,,
85,2012,605,Pieter verLoren van Themaat,Pieter,verLoren van Themaat,verLoren van Themaat,6,Netherlands,NL,1916,2,Male,0,0,0,0,1,1,Former AG,0,1981-06-04,1986-01-13,,,,,,,1981-06-04,1986-01-13
86,2005,606,Cornelis Paulus Briët,Cornelis Paulus,Briët,Briet,6,Netherlands,NL,1944,2,Male,0,0,1,0,0,1,Former GC judge,0,1989-09-01,1998-08-31,,,1989-09-01,1998-08-31,,,,
87,2006,607,Paul Joan George Kapteyn,Paul Joan George,Kapteyn,Kapteyn,6,Netherlands,NL,1928,2,Male,0,1,0,0,0,1,Former CJ judge,0,1990-03-29,2000-10-06,1990-03-29,2000-10-06,,,,,,
88,2007,608,Arjen Meij,Arjen,Meij,Meij,6,Netherlands,NL,1944,2,Male,0,0,1,0,0,1,Former GC judge,0,1992-09-01,2010-08-31,,,1992-09-01,2010-08-31,,,,
89,2013,609,Leendert Adrie Geelhoed,Leendert Adrie,Geelhoed,Geelhoed,6,Netherlands,NL,1942,2,Male,0,0,0,0,1,1,Former AG,0,2000-10-07,2006-10-06,,,,,,,2000-10-07,2006-10-06
90,2008,610,Christiaan Willem Anton Timmermans,Christiaan Willem Anton,Timmermans,Timmermans,6,Netherlands,NL,1941,2,Male,0,1,0,0,0,1,Former CJ judge,0,2000-10-07,2010-07-10,2000-10-07,2010-07-10,,,,,,
91,2009,611,Alexandra Prechal,Alexandra,Prechal,Prechal,6,Netherlands,NL,1959,1,Female,1,1,0,0,0,1,Current CJ judge,0,2010-07-10,present,2010-07-10,present,,,,,,
92,2010,612,Marc van der Woude,Marc,van der Woude,van der Woude,6,Netherlands,NL,1960,2,Male,0,0,1,0,0,1,Current GC judge,0,2010-09-01,present,,,2010-09-01,present,,,,
93,2011,613,René Barents,René,Barents,Barents,6,Netherlands,NL,1951,2,Male,0,0,1,1,0,2,Current GC judge; Former CST judge,0,2011-10-06,present,,,2016-09-01,present,2011-10-06,2016-08-31,,
94,701,701,Max Sørensen,Max,Sørensen,Sorensen,7,Denmark,DK,1913,2,Male,0,1,0,0,0,1,Former CJ judge,0,1973-01-01,1979-10-06,1973-01-01,1979-10-06,,,,,,
95,702,702,Ole Due,Ole,Due,Due,7,Denmark,DK,1931,2,Male,0,1,0,0,0,1,Former CJ judge,0,1979-10-07,1994-10-06,1979-10-07,1994-10-06,,,,,,
96,703,703,Bo Vesterdorf,Bo,Vesterdorf,Vesterdorf,7,Denmark,DK,1945,2,Male,0,0,1,0,0,1,Former GC judge,0,1989-09-01,2007-09-17,,,1989-09-01,2007-09-17,,,,
97,704,704,Claus Christian Gulmann,Claus Christian,Gulmann,Gulmann,7,Denmark,DK,1942,2,Male,0,1,0,0,1,2,Former CJ judge; Former AG,0,1991-10-07,2006-01-10,1994-10-07,2006-01-10,,,,,1991-10-07,1994-10-06
98,708,705,Michael Bendik Elmer,Michael Bendik,Elmer,Elmer,7,Denmark,DK,1949,2,Male,0,0,0,0,1,1,Former AG,0,1994-10-07,1997-12-18,,,,,,,1994-10-07,1997-12-18
99,705,706,Lars Bay Larsen,Lars,Bay Larsen,Bay Larsen,7,Denmark,DK,1953,2,Male,0,1,0,0,0,1,Current CJ judge,0,2006-01-11,present,2006-01-11,present,,,,,,
100,706,707,Sten Frimodt Nielsen,Sten,Frimodt Nielsen,Frimodt Nielsen,7,Denmark,DK,1963,2,Male,0,0,1,0,0,1,Current GC judge,0,2007-09-17,present,,,2007-09-17,present,,,,
101,707,708,Jesper Svenningsen,Jesper,Svenningsen,Svenningsen,7,Denmark,DK,1966,2,Male,0,0,1,1,0,2,Current GC judge; Former CST judge,0,2013-10-07,present,,,2016-09-01,present,2013-10-07,2016-08-31,,
102,709,709,Henrik Saugmandsgaard Øe,Henrik,Saugmandsgaard Øe,Saugmandsgaard Oe,7,Denmark,DK,1964,2,Male,0,0,0,0,1,1,Former AG,0,2015-10-07,2021-10-07,,,,,,,2015-10-07,2021-10-07
103,1401,801,Cearbhall O'Dalaigh,Cearbhall,O'Dalaigh,O'Dalaigh,8,Ireland,IE,1911,2,Male,0,1,0,0,0,1,Former CJ judge,0,1973-01-01,1974-12-12,1973-01-01,1974-12-12,,,,,,
104,1402,802,Andreas O'Keeffe,Andreas,O'Keeffe,O'Keeffe,8,Ireland,IE,1912,2,Male,0,1,0,0,0,1,Former CJ judge,0,1975-12-12,1984-12-31,1975-12-12,1984-12-31,,,,,,
