key_id,court,first_name,last_name,last_name_latin,member_state,item_text,type_education,type_job,type_other,job_lawyer,job_academic,job_politician,job_judge,job_civil_servant,job_other,court_lower,court_high,court_cjeu,court_international,common_law_university
109,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,"member of the International Law Association, of the International Maritime Committee and of several other international legal societies",0,0,1,0,0,0,0,0,0,0,0,0,0,0
110,Court of Justice,Marko,Ilešič,Ilesic,Slovenia,Judge at the Court of Justice since 11 May 2004,0,1,0,0,0,0,1,0,0,0,0,1,0,0
111,Court of Justice,Lars,Bay Larsen,Bay Larsen,Denmark,awarded degrees in political science (1976) and law (1983) at the University of Copenhagen,1,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Court of Justice,Lars,Bay Larsen,Bay Larsen,Denmark,official at the Ministry of Justice (1983-85),0,1,0,0,0,0,0,1,0,0,0,0,0,0
113,Court of Justice,Lars,Bay Larsen,Bay Larsen,Denmark,"Lecturer (1984-91), then Associate Professor (1991-96), in Family Law at the University of Copenhagen",0,1,0,0,1,0,0,0,0,0,0,0,0,0
114,Court of Justice,Lars,Bay Larsen,Bay Larsen,Denmark,Head of Section at the Advokatsamfund (Danish Bar Association) (1985-86),0,1,0,1,0,0,0,0,0,0,0,0,0,0
115,Court of Justice,Lars,Bay Larsen,Bay Larsen,Denmark,Head of Section (1986-91) at the Ministry of Justice,0,1,0,0,0,0,0,1,0,0,0,0,0,0
116,Court of Justice,Lars,Bay Larsen,Bay Larsen,Denmark,called to the Bar (1991),0,1,0,1,0,0,0,0,0,0,0,0,0,0
117,Court of Justice,Lars,Bay Larsen,Bay Larsen,Denmark,"Head of Division (1991-95), Head of the Police Department (1995-99) and Head of the Law Department (2000-03) at the Ministry of Justice",0,1,0,0,0,0,0,1,0,0,0,0,0,0
118,Court of Justice,Lars,Bay Larsen,Bay Larsen,Denmark,"Representative of the Kingdom of Denmark on the K-4 Committee (1995-2000), the Schengen Central Group (1996-98) and the Europol Management Board (1998-2000)",0,1,0,0,0,0,0,1,0,0,0,0,0,0
119,Court of Justice,Lars,Bay Larsen,Bay Larsen,Denmark,Judge at the Højesteret (Supreme Court) (2003-06),0,1,0,0,0,0,1,0,0,0,1,0,0,0
120,Court of Justice,Lars,Bay Larsen,Bay Larsen,Denmark,Judge at the Court of Justice since 11 January 2006,0,1,0,0,0,0,1,0,0,0,0,1,0,0
121,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,graduated in law from the University of Lisbon (1980),1,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,Master of Laws of the University of Lisbon (1986),1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,Doctor of Laws of the New University of Lisbon (2003),1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,Law lecturer at the University of Lisbon (1981-86),0,1,0,0,1,0,0,0,0,0,0,0,0,0
125,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,Lawyer-linguist (1986-87) and Lawyer-reviser (1987-90) at the Court of Justice,0,1,0,1,0,0,0,0,0,0,0,0,0,0
126,Court of Justice,Nuno José,Cardoso da Silva Piçarra,Cardoso da Silva Picarra,Portugal,Legal Secretary at the Court of First Instance (1990-96),0,1,0,1,0,0,0,1,0,0,0,0,0,0
