"key_id","judge_id","full_name","first_name","last_name","last_name_latin","last_name_label","last_name_latin_label","member_state_id","member_state","member_state_code","birth_year","gender_id","gender","female","judge_court_of_justice","judge_general_court","judge_civil_service_tribunal","advocate_general","current_status","current_member","count_positions","nonconsecutive_positions","start_date","end_date","start_date_court_of_justice","end_date_court_of_justice","start_date_general_court","end_date_general_court","start_date_civil_service_tribunal","end_date_civil_service_tribunal","start_date_advocate_general","end_date_advocate_general"
22,"J:0212","Jacques Biancarelli","Jacques","Biancarelli","Biancarelli","Biancarelli","Biancarelli",2,"France","FR",1948,2,"Male",0,0,1,0,0,"Former GC judge",0,1,0,1989-09-01,1995-08-31,NA,NA,1989-09-01,1995-08-31,NA,NA,NA,NA
23,"J:0213","Philippe Léger","Philippe","Léger","Leger","Léger","Leger",2,"France","FR",1938,2,"Male",0,0,0,0,1,"Former AG",0,1,0,1994-10-07,2006-10-06,NA,NA,NA,NA,NA,NA,1994-10-07,2006-10-06
24,"J:0214","Jean-Pierre Puissochet","Jean-Pierre","Puissochet","Puissochet","Puissochet","Puissochet",2,"France","FR",1936,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1994-10-07,2006-10-06,1994-10-07,2006-10-06,NA,NA,NA,NA,NA,NA
25,"J:0215","André Potocki","André","Potocki","Potocki","Potocki","Potocki",2,"France","FR",1950,2,"Male",0,0,1,0,0,"Former GC judge",0,1,0,1995-09-01,2001-08-31,NA,NA,1995-09-01,2001-08-31,NA,NA,NA,NA
26,"J:0216","Hubert Legal","Hubert","Legal","Legal","Legal","Legal",2,"France","FR",1954,2,"Male",0,0,1,0,0,"Former GC judge",0,1,0,2001-09-01,2007-08-31,NA,NA,2001-09-01,2007-08-31,NA,NA,NA,NA
27,"J:0217","Stéphane Gervasoni","Stéphane","Gervasoni","Gervasoni","Gervasoni","Gervasoni",2,"France","FR",1967,2,"Male",0,0,1,1,0,"Current GC judge; Former CST judge",1,2,1,2005-10-01,NA,NA,NA,2013-09-01,NA,2005-10-01,2011-09-30,NA,NA
28,"J:0218","Jean-Claude Bonichot","Jean-Claude","Bonichot","Bonichot","Bonichot","Bonichot",2,"France","FR",1955,2,"Male",0,1,0,0,0,"Current CJ judge",1,1,0,2006-10-07,NA,2006-10-07,NA,NA,NA,NA,NA,NA,NA
29,"J:0219","Yves Bot","Yves","Bot","Bot","Bot","Bot",2,"France","FR",1947,2,"Male",0,0,0,0,1,"Former AG",0,1,0,2006-10-07,2019-06-09,NA,NA,NA,NA,NA,NA,2006-10-07,2019-06-09
30,"J:0220","Laurent Truchot","Laurent","Truchot","Truchot","Truchot","Truchot",2,"France","FR",1962,2,"Male",0,0,1,0,0,"Current GC judge",1,1,1,2007-09-01,NA,NA,NA,2007-09-01,NA,NA,NA,NA,NA
31,"J:0221","Jean Richard de la Tour","Jean Richard","de la Tour","de la Tour","de la Tour","de la Tour",2,"France","FR",1959,2,"Male",0,0,0,0,1,"Current AG",1,1,0,2020-03-23,NA,NA,NA,NA,NA,NA,NA,2020-03-23,NA
32,"J:0301","Otto Riese","Otto","Riese","Riese","Riese","Riese",3,"Germany","DE",1894,2,"Male",0,1,0,0,0,"Former CJ judge",0,1,0,1952-12-04,1963-01-24,1952-12-04,1963-01-24,NA,NA,NA,NA,NA,NA
33,"J:0302","Karl Roemer","Karl","Roemer","Roemer","Roemer","Roemer",3,"Germany","DE",1899,2,"Male",0,0,0,0,1,"Former AG",0,1,0,1953-10-01,1973-10-01,NA,NA,NA,NA,NA,NA,1953-10-01,1973-10-01
